CUDA_VISIBLE_DEVICES=1 nohup python train_q_rag_logt.py    
envs=hotpotqa    \
algo=pqn_e5_hotpotqa    \
envs.data_path="/home/ai-faculty/workspace/datasets/hotpotqa"    \
steps_count=10000    \
batch_size=12    \
accumulate_grads=8    \
eval_interval=100    \
envs_parallel=1    \
max_action_length=220   > train.log 2>&1 &

Training started at: 2026-03-26 17:36:17
Total iterations: 80000
====================================================================================================
| it/Total Steps | 完成百分比 | Progress | Time | Reward | Eval Reward | QF loss| Step |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 46700/80000 | 58.4% | 13:20:38 | 0.850 | 0.860 | 0.072 | 607113 |
| 46800/80000 | 58.5% | 13:22:14 | 0.843 | 0.860 | 0.101 | 608413 |
| 46900/80000 | 58.6% | 13:23:50 | 0.849 | 0.860 | 0.097 | 609713 |
| 47000/80000 | 58.8% | 13:25:25 | 0.846 | 0.860 | 0.160 | 611013 |
| 47100/80000 | 58.9% | 13:27:01 | 0.843 | 0.860 | 0.031 | 612313 |
| 47200/80000 | 59.0% | 13:28:37 | 0.845 | 0.860 | 0.059 | 613613 |
| 47300/80000 | 59.1% | 13:31:28 | 0.866 | 0.910 | 0.052 | 614913 |
| 47400/80000 | 59.3% | 13:33:04 | 0.862 | 0.910 | 0.075 | 616213 |
| 47500/80000 | 59.4% | 13:34:40 | 0.853 | 0.910 | 0.053 | 617513 |
| 47600/80000 | 59.5% | 13:36:15 | 0.852 | 0.910 | 0.033 | 618813 |
| 47700/80000 | 59.6% | 13:37:51 | 0.850 | 0.910 | 0.073 | 620113 |
| 47800/80000 | 59.8% | 13:39:26 | 0.850 | 0.910 | 0.102 | 621413 |
| 47900/80000 | 59.9% | 13:41:02 | 0.847 | 0.910 | 0.153 | 622713 |
| 48000/80000 | 60.0% | 13:42:38 | 0.846 | 0.910 | 0.025 | 624013 |
| 48100/80000 | 60.1% | 13:45:09 | 0.846 | 0.903 | 0.061 | 625313 |
| 48200/80000 | 60.3% | 13:46:44 | 0.853 | 0.903 | 0.075 | 626613 |
| 48300/80000 | 60.4% | 13:48:20 | 0.849 | 0.903 | 0.046 | 627913 |
| 48400/80000 | 60.5% | 13:49:55 | 0.857 | 0.903 | 0.053 | 629213 |
| 48500/80000 | 60.6% | 13:51:31 | 0.852 | 0.903 | 0.032 | 630513 |
| 48600/80000 | 60.8% | 13:53:07 | 0.855 | 0.903 | 0.144 | 631813 |
| 48700/80000 | 60.9% | 13:54:42 | 0.851 | 0.903 | 0.018 | 633113 |
| 48800/80000 | 61.0% | 13:56:17 | 0.849 | 0.903 | 0.149 | 634413 |
| 48900/80000 | 61.1% | 13:58:44 | 0.858 | 0.860 | 0.012 | 635713 |
| 49000/80000 | 61.3% | 14:00:19 | 0.849 | 0.860 | 0.076 | 637013 |
| 49100/80000 | 61.4% | 14:01:54 | 0.842 | 0.860 | 0.105 | 638313 |
| 49200/80000 | 61.5% | 14:03:29 | 0.846 | 0.860 | 0.071 | 639613 |
| 49300/80000 | 61.6% | 14:05:05 | 0.850 | 0.860 | 0.068 | 640913 |
| 49400/80000 | 61.8% | 14:06:40 | 0.849 | 0.860 | 0.026 | 642213 |
| 49500/80000 | 61.9% | 14:08:15 | 0.853 | 0.860 | 0.090 | 643513 |
| 49600/80000 | 62.0% | 14:09:51 | 0.854 | 0.860 | 0.218 | 644813 |
| 49700/80000 | 62.1% | 14:12:18 | 0.862 | 0.863 | 0.065 | 646113 |
| 49800/80000 | 62.3% | 14:13:54 | 0.855 | 0.863 | 0.072 | 647413 |
| 49900/80000 | 62.4% | 14:15:29 | 0.863 | 0.863 | 0.070 | 648713 |
| 50000/80000 | 62.5% | 14:17:03 | 0.859 | 0.863 | 0.037 | 650013 |
| 50100/80000 | 62.6% | 14:18:39 | 0.861 | 0.863 | 0.019 | 651313 |
| 50200/80000 | 62.8% | 14:20:14 | 0.864 | 0.863 | 0.152 | 652613 |
| 50300/80000 | 62.9% | 14:21:50 | 0.861 | 0.863 | 0.053 | 653913 |
| 50400/80000 | 63.0% | 14:23:25 | 0.860 | 0.863 | 0.017 | 655213 |
| 50500/80000 | 63.1% | 14:25:51 | 0.860 | 0.890 | 0.017 | 656513 |
| 50600/80000 | 63.3% | 14:27:26 | 0.858 | 0.890 | 0.119 | 657813 |
| 50700/80000 | 63.4% | 14:29:02 | 0.863 | 0.890 | 0.055 | 659113 |
| 50800/80000 | 63.5% | 14:30:37 | 0.857 | 0.890 | 0.029 | 660413 |
| 50900/80000 | 63.6% | 14:32:12 | 0.860 | 0.890 | 0.089 | 661713 |
| 51000/80000 | 63.8% | 14:33:47 | 0.860 | 0.890 | 0.203 | 663013 |
| 51100/80000 | 63.9% | 14:35:22 | 0.860 | 0.890 | 0.017 | 664313 |
| 51200/80000 | 64.0% | 14:36:58 | 0.861 | 0.890 | 0.078 | 665613 |
| 51300/80000 | 64.1% | 14:39:24 | 0.857 | 0.863 | 0.093 | 666913 |
| 51400/80000 | 64.3% | 14:41:00 | 0.848 | 0.863 | 0.044 | 668213 |
| 51500/80000 | 64.4% | 14:42:37 | 0.847 | 0.863 | 0.114 | 669513 |
| 51600/80000 | 64.5% | 14:44:13 | 0.851 | 0.863 | 0.102 | 670813 |
| 51700/80000 | 64.6% | 14:45:48 | 0.850 | 0.863 | 0.057 | 672113 |
| 51800/80000 | 64.8% | 14:47:24 | 0.853 | 0.863 | 0.043 | 673413 |
| 51900/80000 | 64.9% | 14:49:00 | 0.853 | 0.863 | 0.095 | 674713 |
| 52000/80000 | 65.0% | 14:50:36 | 0.852 | 0.863 | 0.067 | 676013 |
| 52100/80000 | 65.1% | 14:53:03 | 0.857 | 0.820 | 0.170 | 677313 |
| 52200/80000 | 65.3% | 14:54:39 | 0.860 | 0.820 | 0.083 | 678613 |
| 52300/80000 | 65.4% | 14:56:14 | 0.865 | 0.820 | 0.066 | 679913 |
| 52400/80000 | 65.5% | 14:57:50 | 0.863 | 0.820 | 0.106 | 681213 |
| 52500/80000 | 65.6% | 14:59:25 | 0.863 | 0.820 | 0.076 | 682513 |
| 52600/80000 | 65.8% | 15:01:00 | 0.859 | 0.820 | 0.077 | 683813 |
| 52700/80000 | 65.9% | 15:02:34 | 0.856 | 0.820 | 0.101 | 685113 |
| 52800/80000 | 66.0% | 15:04:09 | 0.855 | 0.820 | 0.032 | 686413 |
| 52900/80000 | 66.1% | 15:06:36 | 0.822 | 0.867 | 0.135 | 687713 |
| 53000/80000 | 66.3% | 15:08:11 | 0.854 | 0.867 | 0.042 | 689013 |
| 53100/80000 | 66.4% | 15:09:46 | 0.853 | 0.867 | 0.069 | 690313 |
| 53200/80000 | 66.5% | 15:11:21 | 0.853 | 0.867 | 0.069 | 691613 |
| 53300/80000 | 66.6% | 15:12:56 | 0.853 | 0.867 | 0.045 | 692913 |
| 53400/80000 | 66.8% | 15:14:32 | 0.852 | 0.867 | 0.020 | 694213 |
| 53500/80000 | 66.9% | 15:16:07 | 0.856 | 0.867 | 0.085 | 695513 |
| 53600/80000 | 67.0% | 15:17:41 | 0.852 | 0.867 | 0.113 | 696813 |
| 53700/80000 | 67.1% | 15:20:09 | 0.877 | 0.887 | 0.139 | 698113 |
| 53800/80000 | 67.3% | 15:21:44 | 0.862 | 0.887 | 0.128 | 699413 |
| 53900/80000 | 67.4% | 15:23:20 | 0.863 | 0.887 | 0.077 | 700713 |
| 54000/80000 | 67.5% | 15:24:56 | 0.860 | 0.887 | 0.047 | 702013 |
| 54100/80000 | 67.6% | 15:26:31 | 0.858 | 0.887 | 0.053 | 703313 |
| 54200/80000 | 67.8% | 15:28:06 | 0.859 | 0.887 | 0.053 | 704613 |
| 54300/80000 | 67.9% | 15:29:42 | 0.864 | 0.887 | 0.115 | 705913 |
| 54400/80000 | 68.0% | 15:31:18 | 0.861 | 0.887 | 0.085 | 707213 |
| 54500/80000 | 68.1% | 15:34:20 | 0.825 | 0.937 | 0.044 | 708513 |
| 54600/80000 | 68.3% | 15:35:56 | 0.842 | 0.937 | 0.184 | 709813 |
| 54700/80000 | 68.4% | 15:37:31 | 0.857 | 0.937 | 0.067 | 711113 |
| 54800/80000 | 68.5% | 15:39:07 | 0.858 | 0.937 | 0.029 | 712413 |
| 54900/80000 | 68.6% | 15:40:42 | 0.859 | 0.937 | 0.088 | 713713 |
| 55000/80000 | 68.8% | 15:42:18 | 0.856 | 0.937 | 0.055 | 715013 |
| 55100/80000 | 68.9% | 15:43:53 | 0.860 | 0.937 | 0.052 | 716313 |
| 55200/80000 | 69.0% | 15:45:28 | 0.861 | 0.937 | 0.043 | 717613 |
| 55300/80000 | 69.1% | 15:47:53 | 0.849 | 0.857 | 0.082 | 718913 |
| 55400/80000 | 69.3% | 15:49:28 | 0.853 | 0.857 | 0.056 | 720213 |
| 55500/80000 | 69.4% | 15:51:02 | 0.856 | 0.857 | 0.091 | 721513 |
| 55600/80000 | 69.5% | 15:52:38 | 0.864 | 0.857 | 0.049 | 722813 |
| 55700/80000 | 69.6% | 15:54:13 | 0.864 | 0.857 | 0.119 | 724113 |
| 55800/80000 | 69.8% | 15:55:48 | 0.867 | 0.857 | 0.027 | 725413 |
| 55900/80000 | 69.9% | 15:57:24 | 0.867 | 0.857 | 0.095 | 726713 |
| 56000/80000 | 70.0% | 15:58:59 | 0.867 | 0.857 | 0.043 | 728013 |
| 56100/80000 | 70.1% | 16:01:25 | 0.886 | 0.900 | 0.068 | 729313 |
| 56200/80000 | 70.3% | 16:03:01 | 0.871 | 0.900 | 0.066 | 730613 |
| 56300/80000 | 70.4% | 16:04:35 | 0.870 | 0.900 | 0.119 | 731913 |
| 56400/80000 | 70.5% | 16:06:11 | 0.873 | 0.900 | 0.051 | 733213 |
| 56500/80000 | 70.6% | 16:07:46 | 0.872 | 0.900 | 0.106 | 734513 |
| 56600/80000 | 70.8% | 16:09:21 | 0.869 | 0.900 | 0.041 | 735813 |
| 56700/80000 | 70.9% | 16:10:57 | 0.866 | 0.900 | 0.170 | 737113 |
| 56800/80000 | 71.0% | 16:12:33 | 0.864 | 0.900 | 0.135 | 738413 |
| 56900/80000 | 71.1% | 16:14:53 | 0.875 | 0.880 | 0.024 | 739713 |
| 57000/80000 | 71.3% | 16:16:29 | 0.881 | 0.880 | 0.064 | 741013 |
| 57100/80000 | 71.4% | 16:18:05 | 0.875 | 0.880 | 0.108 | 742313 |
| 57200/80000 | 71.5% | 16:19:40 | 0.870 | 0.880 | 0.026 | 743613 |
| 57300/80000 | 71.6% | 16:21:14 | 0.869 | 0.880 | 0.037 | 744913 |
